期号,日期,中奖号码,特别号码,上期出现号码,小,大,单数,双数,1-10,11-20,21-30,31-40,41-50
23/096,2023-08-26,"16,26,31,35,39,46",3,"31,46",1,5,3,3,0,1,1,3,1
23/095,2023-08-24,"6,18,29,31,44,46",8,,2,4,2,4,1,1,1,1,2
23/094,2023-08-22,"1,5,7,12,48,49",16,,4,2,4,2,3,1,0,0,2
23/093,2023-08-19,"8,14,18,20,23,25",44,18,5,1,2,4,1,3,2,0,0
23/092,2023-08-17,"3,9,15,18,21,37",42,37,5,1,5,1,2,2,1,1,0
23/091,2023-08-15,"4,12,17,37,38,39",41,"12,17",3,3,3,3,1,2,0,3,0
23/090,2023-08-12,"3,12,13,17,24,36",16,"3,13",5,1,3,3,1,3,1,1,0
23/089,2023-08-10,"2,3,4,13,18,42",12,"4,18",5,1,2,4,3,2,0,0,1
23/088,2023-08-08,"4,7,18,28,30,40",29,,3,3,1,5,2,1,2,1,0
23/087,2023-08-05,"2,8,24,39,41,44",40,44,3,3,2,4,2,0,1,1,2
23/086,2023-08-03,"3,14,23,30,33,44",21,,3,3,3,3,1,1,2,1,1
23/085,2023-08-01,"2,7,25,28,31,35",11,,2,4,4,2,2,0,2,2,0
23/084,2023-07-29,"13,23,26,40,41,43",14,"13,43",2,4,4,2,0,1,2,1,2
23/083,2023-07-27,"13,15,17,18,20,43",39,13,5,1,4,2,0,5,0,0,1
23/082,2023-07-25,"1,2,10,13,29,47",9,,4,2,4,2,3,1,1,0,1
23/081,2023-07-20,"4,16,18,34,35,46",47,"16,34",3,3,1,5,1,2,0,2,1
23/080,2023-07-18,"15,16,34,36,39,40",42,,2,4,2,4,0,2,0,4,0
23/079,2023-07-15,"4,9,12,33,37,42",3,,3,3,3,3,2,1,0,2,1
23/078,2023-07-13,"3,8,11,23,36,38",33,,4,2,3,3,2,1,1,2,0
23/077,2023-07-11,"7,19,22,27,40,47",13,22,3,3,4,2,1,1,2,1,1
23/076,2023-07-08,"1,11,22,26,38,39",27,,3,3,3,3,1,1,2,2,0
23/075,2023-07-04,"5,15,20,29,32,37",18,29,3,3,4,2,1,2,1,2,0
23/074,2023-07-02,"3,6,25,29,35,42",36,6,2,4,4,2,2,0,2,1,1
23/073,2023-06-29,"6,10,18,21,22,33",4,"10,18",5,1,2,4,2,1,2,1,0
23/072,2023-06-27,"7,10,16,18,29,45",1,16,4,2,3,3,2,2,1,0,1
23/071,2023-06-24,"1,11,14,16,26,36",39,14,4,2,2,4,1,3,1,1,0
23/070,2023-06-22,"14,15,24,30,37,39",26,,3,3,3,3,0,2,2,2,0
23/069,2023-06-20,"8,18,31,34,35,47",39,"18,31,35",2,4,3,3,1,1,0,3,1
23/068,2023-06-17,"18,22,31,35,44,48",6,,2,4,2,4,0,1,1,2,2
23/067,2023-06-15,"5,13,17,20,33,38",14,,4,2,4,2,1,3,0,2,0
23/066,2023-06-13,"14,16,22,26,36,42",19,"14,16,22",3,3,0,6,0,2,2,1,1
23/065,2023-06-11,"14,16,18,22,30,47",11,22,4,2,1,5,0,3,2,0,1
23/064,2023-06-08,"4,22,24,28,45,46",7,45,3,3,1,5,1,0,3,0,2
23/063,2023-06-06,"6,12,34,42,45,48",2,48,2,4,1,5,1,1,0,1,3
23/062,2023-06-03,"2,16,24,25,47,48",40,47,3,3,2,4,1,1,2,0,2
23/061,2023-06-01,"14,30,32,42,45,47",4,"30,32",1,5,2,4,0,1,1,1,3
23/060,2023-05-30,"3,9,15,30,32,41",26,32,3,3,4,2,2,1,1,1,1
23/059,2023-05-27,"11,20,21,22,27,32",12,,4,2,3,3,0,2,3,1,0
23/058,2023-05-25,"3,14,18,26,40,43",15,14,3,3,2,4,1,2,1,1,1
23/057,2023-05-23,"4,14,15,37,41,49",38,,3,3,4,2,1,2,0,1,2
23/056,2023-05-20,"1,19,22,26,46,47",39,47,3,3,3,3,1,1,2,0,2
23/055,2023-05-18,"5,6,12,16,41,47",7,,4,2,3,3,2,2,0,0,2
23/054,2023-05-16,"2,18,27,31,32,46",44,,2,4,2,4,1,1,1,2,1
23/053,2023-05-14,"1,4,9,35,37,48",43,,3,3,4,2,3,0,0,2,1
23/052,2023-05-11,"17,18,28,30,32,33",1,32,2,4,2,4,0,2,2,2,0
23/051,2023-05-09,"7,10,22,25,32,35",27,25,3,3,3,3,2,0,2,2,0
23/050,2023-05-06,"1,5,14,15,21,25",31,,5,1,5,1,2,2,2,0,0
23/049,2023-05-04,"2,10,28,37,47,49",7,"10,49",2,4,3,3,2,0,1,1,2
23/048,2023-05-02,"4,10,20,32,38,49",7,,3,3,1,5,2,1,0,2,1
23/047,2023-04-29,"7,8,17,19,27,40",2,8,4,2,4,2,2,2,1,1,0
23/046,2023-04-27,"8,12,21,43,44,49",27,43,3,3,3,3,1,1,1,0,3
23/045,2023-04-25,"20,26,38,43,46,47",35,,1,5,2,4,0,1,1,1,3
23/044,2023-04-22,"2,6,7,9,17,19",26,,6,0,4,2,4,2,0,0,0
23/043,2023-04-20,"1,20,24,28,38,46",40,"20,28,46",3,3,1,5,1,1,2,1,1
23/042,2023-04-18,"20,23,27,28,30,46",29,"20,23",2,4,2,4,0,1,4,0,1
23/041,2023-04-16,"10,12,18,20,23,36",6,36,5,1,1,5,1,3,1,1,0
23/040,2023-04-13,"9,14,15,32,36,48",25,,3,3,2,4,1,2,0,2,1
23/039,2023-04-11,"12,23,29,40,42,43",20,,2,4,3,3,0,1,2,1,2
23/038,2023-04-08,"1,13,17,18,33,36",22,36,4,2,4,2,1,3,0,2,0
23/037,2023-04-04,"15,19,20,24,36,47",4,19,4,2,3,3,0,3,1,1,1
23/036,2023-04-01,"8,9,12,19,21,40",24,"8,12",5,1,3,3,2,2,1,1,0
23/035,2023-03-30,"1,8,12,36,42,47",40,,3,3,2,4,2,1,0,1,2
23/034,2023-03-28,"9,10,16,41,44,46",39,,3,3,2,4,2,1,0,0,3
23/033,2023-03-25,"11,15,18,26,31,37",10,,3,3,4,2,0,3,1,2,0
23/032,2023-03-23,"5,14,17,20,22,32",33,,5,1,2,4,1,3,1,1,0
23/031,2023-03-21,"8,13,18,30,33,41",20,,3,3,3,3,1,2,1,1,1
23/030,2023-03-18,"4,7,17,34,42,48",3,34,3,3,2,4,2,1,0,1,2
23/029,2023-03-16,"18,21,28,30,34,40",14,18,2,4,1,5,0,1,3,2,0
23/028,2023-03-14,"1,2,10,12,18,37",43,12,5,1,2,4,3,2,0,1,0
23/027,2023-03-12,"11,12,13,20,35,43",44,,4,2,4,2,0,4,0,1,1
23/026,2023-03-09,"1,4,7,14,31,37",11,"4,37",4,2,4,2,3,1,0,2,0
23/025,2023-03-07,"4,11,12,26,37,40",7,26,3,3,2,4,1,2,1,2,0
23/024,2023-03-04,"1,9,15,26,42,44",25,,3,3,3,3,2,1,1,0,2
23/023,2023-03-02,"14,17,19,32,39,46",36,,3,3,3,3,0,3,0,2,1
23/022,2023-02-28,"8,13,29,33,40,42",3,,2,4,3,3,1,1,1,2,1
23/021,2023-02-25,"14,25,27,28,44,47",4,47,1,5,3,3,0,1,3,0,2
23/020,2023-02-23,"8,16,32,42,47,48",35,8,2,4,1,5,1,1,0,1,3
23/019,2023-02-21,"8,19,29,30,33,41",4,,2,4,4,2,1,1,2,1,1
23/018,2023-02-18,"4,12,20,28,34,49",43,,3,3,1,5,1,2,1,1,1
23/017,2023-02-16,"8,9,13,22,38,39",11,"13,39",4,2,3,3,2,1,1,2,0
23/016,2023-02-14,"3,13,19,32,33,39",24,13,3,3,5,1,1,2,0,3,0
23/015,2023-02-11,"13,18,22,29,34,41",23,"13,29",3,3,3,3,0,2,2,1,1
23/014,2023-02-09,"1,9,13,27,29,40",20,13,3,3,5,1,2,1,2,1,0
23/013,2023-02-07,"4,11,13,14,30,37",20,14,4,2,3,3,1,3,1,1,0
23/012,2023-02-04,"14,18,25,29,31,42",6,,2,4,3,3,0,2,2,1,1
23/011,2023-02-02,"2,8,23,33,34,35",43,2,3,3,3,3,2,0,1,3,0
23/010,2023-01-28,"2,12,16,38,45,46",14,2,3,3,1,5,1,2,0,1,2
23/009,2023-01-26,"2,3,23,31,32,43",40,,3,3,4,2,2,0,1,2,1
23/008,2023-01-19,"17,25,27,29,36,49",23,29,1,5,5,1,0,1,3,1,1
23/007,2023-01-17,"10,15,29,34,38,47",18,38,2,4,3,3,1,1,1,2,1
23/006,2023-01-14,"3,5,16,26,35,38",9,26,3,3,3,3,2,1,1,2,0
23/005,2023-01-12,"6,22,26,27,40,45",13,,2,4,2,4,1,0,3,1,1
23/004,2023-01-10,"2,21,24,29,35,47",18,,3,3,4,2,1,0,3,1,1
23/003,2023-01-07,"10,31,33,34,43,49",40,"34,49",1,5,4,2,1,0,0,3,2
23/002,2023-01-05,"5,9,19,34,36,49",23,,3,3,4,2,2,1,0,2,1
23/001,2023-01-03,"7,20,25,27,35,43",1,,2,4,5,1,1,1,2,1,1
22/111,2022-12-29,"1,2,21,33,41,45",4,45,3,3,5,1,2,0,1,1,2
22/110,2022-12-27,"5,13,18,32,39,45",44,"18,39",3,3,4,2,1,2,0,2,1
22/109,2022-12-25,"2,7,11,14,18,39",29,18,5,1,3,3,2,3,0,1,0
22/108,2022-12-22,"16,18,19,33,41,46",37,41,3,3,3,3,0,3,0,1,2
22/107,2022-12-20,"28,36,37,38,41,45",42,,0,6,3,3,0,0,1,3,2
22/106,2022-12-17,"6,14,15,26,35,40",8,26,3,3,2,4,1,2,1,2,0
22/105,2022-12-15,"5,7,18,26,31,45",30,45,3,3,4,2,2,1,1,1,1
22/104,2022-12-13,"12,38,39,40,45,49",10,"12,39,49",1,5,3,3,0,1,0,3,2
22/103,2022-12-10,"6,12,20,25,39,49",7,39,3,3,3,3,1,2,1,1,1
22/102,2022-12-08,"17,19,35,39,44,46",21,"17,44,46",2,4,4,2,0,2,0,2,2
22/101,2022-12-06,"6,11,17,30,44,46",5,,3,3,2,4,1,2,1,0,2
22/100,2022-12-03,"2,15,31,34,38,41",21,,2,4,3,3,1,1,0,3,1
22/099,2022-12-01,"14,18,27,32,39,42",43,18,2,4,2,4,0,2,1,2,1
22/098,2022-11-29,"12,18,22,28,31,40",7,28,3,3,1,5,0,2,2,2,0
22/097,2022-11-26,"14,25,28,29,43,44",10,"14,25,28",1,5,3,3,0,1,3,0,2
22/096,2022-11-24,"3,12,14,19,25,28",11,,4,2,3,3,1,3,2,0,0
22/095,2022-11-22,"6,10,11,13,32,46",39,"6,11,46",4,2,2,4,2,2,0,1,1
22/094,2022-11-19,"6,11,27,39,46,47",15,27,2,4,4,2,1,1,1,1,2
22/093,2022-11-17,"1,9,27,32,33,35",45,32,2,4,5,1,2,0,1,3,0
22/092,2022-11-15,"17,18,32,38,44,49",19,18,2,4,2,4,0,2,0,2,2
22/091,2022-11-13,"5,12,18,19,26,33",46,"12,18",4,2,3,3,1,3,1,1,0
22/090,2022-11-10,"11,12,14,18,29,30",31,,4,2,2,4,0,4,2,0,0
22/089,2022-11-08,"10,20,27,32,38,46",4,32,2,4,1,5,1,1,1,2,1
22/088,2022-11-05,"7,11,22,23,28,32",29,,4,2,3,3,1,1,3,1,0
22/087,2022-11-03,"10,13,19,21,27,49",35,,4,2,5,1,1,2,2,0,1
22/086,2022-11-01,"2,12,14,32,41,46",20,12,3,3,1,5,1,2,0,1,2
22/085,2022-10-29,"4,5,12,15,28,29",20,28,4,2,3,3,2,2,2,0,0
22/084,2022-10-25,"27,28,30,34,35,48",11,,0,6,2,4,0,0,3,2,1
22/083,2022-10-22,"12,15,16,42,44,45",4,,3,3,2,4,0,3,0,0,3
22/082,2022-10-20,"20,24,27,31,32,49",36,,2,4,3,3,0,1,2,2,1
22/081,2022-10-18,"7,25,26,39,44,45",46,"25,44",1,5,4,2,1,0,2,1,2
22/080,2022-10-15,"18,21,25,28,38,44",45,38,2,4,2,4,0,1,3,1,1
22/079,2022-10-13,"1,10,14,38,47,48",40,"1,10,47",3,3,2,4,2,1,0,1,2
22/078,2022-10-11,"1,5,10,25,36,47",23,,3,3,4,2,3,0,1,1,1
22/077,2022-10-08,"7,11,28,31,43,48",42,"11,28,31",2,4,4,2,1,1,1,1,2
22/076,2022-10-06,"4,11,21,28,31,47",5,,3,3,4,2,1,1,2,1,1
22/075,2022-10-04,"7,8,12,13,26,43",3,7,4,2,3,3,2,2,1,0,1
22/074,2022-10-02,"1,7,11,24,27,38",17,,4,2,4,2,2,1,2,1,0
22/073,2022-09-29,"6,8,18,36,37,44",30,18,3,3,1,5,2,1,0,2,1
22/072,2022-09-27,"2,18,29,30,32,47",46,29,2,4,2,4,1,1,2,1,1
22/071,2022-09-24,"4,6,10,27,29,46",17,,3,3,2,4,3,0,2,0,1
22/070,2022-09-22,"8,11,31,32,33,36",46,31,2,4,3,3,1,1,0,4,0
22/069,2022-09-20,"4,7,14,18,27,31",48,,4,2,3,3,2,2,1,1,0
22/068,2022-09-17,"5,17,22,24,34,38",13,,4,2,2,4,1,1,2,2,0
22/067,2022-09-15,"21,23,29,30,33,49",40,,2,4,5,1,0,0,4,1,1
22/066,2022-09-13,"2,4,20,38,40,46",11,20,3,3,0,6,2,1,0,2,1
22/065,2022-09-08,"8,14,15,20,41,44",3,14,4,2,2,4,1,3,0,0,2
22/064,2022-09-06,"14,22,35,37,42,46",24,35,2,4,2,4,0,1,1,2,2
22/063,2022-09-03,"2,8,12,19,35,45",33,45,4,2,3,3,2,2,0,1,1
22/062,2022-09-01,"23,24,30,31,45,46",26,24,2,4,3,3,0,0,3,1,2
22/061,2022-08-30,"7,8,9,17,24,25",20,,5,1,4,2,3,1,2,0,0
22/060,2022-08-27,"12,22,34,35,39,45",7,,2,4,3,3,0,1,1,3,1
22/059,2022-08-25,"16,19,32,33,42,46",34,42,2,4,2,4,0,2,0,2,2
22/058,2022-08-23,"4,8,9,10,30,42",22,8,4,2,1,5,4,0,1,0,1
22/057,2022-08-20,"8,17,19,28,31,35",46,"8,19",3,3,4,2,1,2,1,2,0
22/056,2022-08-18,"2,8,19,21,24,47",4,47,5,1,3,3,2,1,2,0,1
22/055,2022-08-16,"7,20,31,35,41,47",42,47,2,4,5,1,1,1,0,2,2
22/054,2022-08-13,"6,22,25,33,38,47",10,22,2,4,3,3,1,0,2,2,1
22/053,2022-08-11,"7,12,22,26,43,49",5,12,3,3,3,3,1,1,2,0,2
22/052,2022-08-09,"1,12,25,28,36,46",13,36,2,4,2,4,1,1,2,1,1
22/051,2022-08-04,"13,24,30,35,36,39",29,,2,4,3,3,0,1,2,3,0
22/050,2022-08-02,"4,8,9,11,42,46",47,46,4,2,2,4,3,1,0,0,2
22/049,2022-07-30,"21,25,34,37,41,46",14,21,1,5,4,2,0,0,2,2,2
22/048,2022-07-28,"8,13,16,21,23,49",44,23,5,1,4,2,1,2,2,0,1
22/047,2022-07-26,"6,14,23,31,38,48",1,38,3,3,2,4,1,1,1,2,1
22/046,2022-07-22,"5,12,21,30,34,38",3,,3,3,2,4,1,1,2,2,0
22/045,2022-07-15,"19,20,25,29,46,47",35,47,2,4,4,2,0,2,2,0,2
22/044,2022-07-12,"4,13,22,27,43,47",23,,3,3,4,2,1,1,2,0,2
22/043,2022-07-08,"7,10,28,30,32,36",27,"30,32",2,4,1,5,2,0,2,2,0
22/042,2022-07-05,"9,30,31,32,37,40",25,37,1,5,3,3,1,0,1,4,0
22/041,2022-07-03,"19,21,23,26,37,39",13,"19,26,37",3,3,5,1,0,1,3,2,0
22/040,2022-06-27,"1,13,19,26,29,37",15,,3,3,5,1,1,2,2,1,0
22/039,2022-06-21,"2,15,20,30,47,48",44,,3,3,2,4,1,2,1,0,2
22/038,2022-06-17,"9,17,24,27,33,39",48,,3,3,5,1,1,1,2,2,0
22/037,2022-06-14,"7,16,21,30,34,38",41,,3,3,2,4,1,1,2,2,0
22/036,2022-06-10,"11,17,24,26,37,41",34,,3,3,4,2,0,2,2,1,1
22/035,2022-06-07,"9,16,21,35,47,48",36,35,3,3,4,2,1,1,1,1,2
22/034,2022-06-03,"1,27,32,35,38,44",24,35,1,5,3,3,1,0,1,3,1
22/033,2022-05-31,"2,13,35,39,43,48",9,,2,4,4,2,1,1,0,2,2
22/032,2022-05-27,"1,17,25,29,42,46",8,17,2,4,4,2,1,1,2,0,2
22/031,2022-05-24,"5,7,8,17,47,49",34,,4,2,5,1,3,1,0,0,2
22/030,2022-05-20,"27,30,36,38,45,46",34,46,0,6,2,4,0,0,2,2,2
22/029,2022-05-17,"4,7,29,35,40,46",17,,2,4,3,3,2,0,1,2,1
22/028,2022-05-13,"1,5,10,22,30,34",42,,4,2,2,4,3,0,2,1,0
22/027,2022-05-10,"12,14,19,39,41,48",33,41,3,3,3,3,0,3,0,1,2
22/026,2022-05-06,"2,15,41,42,44,46",40,15,2,4,2,4,1,1,0,0,4
22/025,2022-05-03,"3,8,11,15,18,40",41,,5,1,3,3,2,3,0,1,0
22/024,2022-04-29,"1,7,16,28,31,48",18,,3,3,3,3,2,1,1,1,1
22/023,2022-04-26,"9,23,30,32,34,40",25,34,2,4,2,4,1,0,2,3,0
22/022,2022-04-22,"8,11,15,19,34,37",25,34,4,2,4,2,1,3,0,2,0
22/021,2022-04-19,"12,23,28,34,39,46",44,,2,4,2,4,0,1,2,2,1
22/020,2022-04-15,"21,25,30,36,37,47",42,30,1,5,4,2,0,0,3,2,1
22/019,2022-04-12,"8,11,12,20,26,30",28,20,4,2,1,5,1,3,2,0,0
22/018,2022-04-08,"10,20,36,38,43,48",30,,2,4,1,5,1,1,0,2,2
22/017,2022-04-05,"9,11,12,22,29,42",3,,4,2,3,3,1,2,2,0,1
22/016,2022-04-01,"4,8,21,40,46,49",34,"8,21",3,3,2,4,2,0,1,1,2
22/015,2022-03-29,"8,18,21,35,37,38",10,,3,3,3,3,1,1,1,3,0
22/014,2022-03-25,"15,20,26,28,29,46",12,28,2,4,2,4,0,2,3,0,1
22/013,2022-03-22,"6,28,32,33,40,45",1,40,1,5,2,4,1,0,1,3,1
22/012,2022-03-18,"12,18,22,30,40,49",15,12,3,3,1,5,0,2,2,1,1
22/011,2022-03-15,"3,10,12,28,39,48",17,,3,3,2,4,2,1,1,1,1
22/010,2022-03-11,"11,20,23,29,38,47",12,23,3,3,4,2,0,2,2,1,1
22/009,2022-03-08,"1,5,23,42,46,49",11,,3,3,4,2,2,0,1,0,3
22/008,2022-03-03,"12,19,21,22,40,43",46,12,4,2,3,3,0,2,2,1,1
22/007,2022-02-24,"2,9,11,12,16,24",43,,6,0,2,4,2,3,1,0,0
22/006,2022-02-17,"6,7,22,34,35,46",8,"6,35",3,3,2,4,2,0,1,2,1
22/005,2022-02-10,"6,13,17,28,35,44",5,,3,3,3,3,1,2,1,1,1
22/004,2022-02-05,"15,18,21,25,39,43",33,18,3,3,5,1,0,2,2,1,1
22/003,2022-01-27,"10,18,20,29,32,33",2,10,3,3,2,4,1,2,1,2,0
22/002,2022-01-20,"1,3,10,11,30,42",39,,4,2,3,3,3,1,1,0,1
22/001,2022-01-04,"2,8,12,14,20,47",36,20,5,1,1,5,2,3,0,0,1
21/123,2021-12-30,"20,21,22,29,34,35",7,21,3,3,3,3,0,1,3,2,0
21/122,2021-12-28,"21,25,30,33,36,49",3,30,1,5,4,2,0,0,3,2,1
21/121,2021-12-25,"8,11,20,30,35,40",27,11,3,3,2,4,1,2,1,2,0
21/120,2021-12-23,"3,9,11,17,22,44",23,"11,44",5,1,4,2,2,2,1,0,1
21/119,2021-12-21,"11,12,16,32,43,44",41,12,3,3,2,4,0,3,0,1,2
21/118,2021-12-19,"12,20,21,26,33,42",9,,3,3,2,4,0,2,2,1,1
21/117,2021-12-16,"5,6,19,43,47,49",39,43,3,3,5,1,2,1,0,0,3
21/116,2021-12-14,"7,24,29,36,41,43",35,7,2,4,4,2,1,0,2,1,2
21/115,2021-12-11,"7,21,34,35,42,48",41,7,2,4,3,3,1,0,1,2,2
21/114,2021-12-09,"4,7,9,13,15,43",1,"4,13,43",5,1,5,1,3,2,0,0,1
21/113,2021-12-07,"4,13,19,21,35,43",27,21,4,2,5,1,1,2,1,1,1
21/112,2021-12-04,"1,21,24,29,44,46",19,21,3,3,3,3,1,0,3,0,2
21/111,2021-12-02,"3,21,26,36,38,49",9,"26,38",2,4,3,3,1,0,2,2,1
21/110,2021-11-30,"1,17,22,26,38,44",8,44,3,3,2,4,1,1,2,1,1
21/109,2021-11-27,"2,14,30,41,42,44",22,,2,4,1,5,1,1,1,0,3
21/108,2021-11-25,"10,28,36,39,47,48",44,,1,5,2,4,1,0,1,2,2
21/107,2021-11-23,"2,6,11,22,34,38",7,38,4,2,1,5,2,1,1,2,0
21/106,2021-11-20,"18,19,24,38,39,42",41,38,3,3,2,4,0,2,1,2,1
21/105,2021-11-18,"2,16,23,25,29,38",18,25,3,3,3,3,1,1,3,1,0
21/104,2021-11-16,"9,13,25,27,33,36",35,,2,4,5,1,1,1,2,2,0
21/103,2021-11-14,"1,11,15,21,24,28",8,,5,1,4,2,1,2,3,0,0
21/102,2021-11-11,"10,13,31,37,40,46",15,,2,4,3,3,1,1,0,3,1
21/101,2021-11-09,"3,11,15,25,30,45",33,15,3,3,5,1,1,2,2,0,1
21/100,2021-11-06,"13,15,40,41,42,49",21,40,2,4,4,2,0,2,0,1,3
21/099,2021-11-04,"3,22,30,32,40,43",5,,2,4,2,4,1,0,2,2,1
21/098,2021-11-02,"4,5,24,33,44,49",41,,3,3,3,3,2,0,1,1,2
21/097,2021-10-30,"3,14,37,41,42,45",4,,2,4,4,2,1,1,0,1,3
21/096,2021-10-28,"1,5,17,26,34,48",42,"34,48",3,3,3,3,2,1,1,1,1
21/095,2021-10-26,"9,14,23,28,34,48",36,9,3,3,2,4,1,1,2,1,1
21/094,2021-10-21,"6,9,11,13,15,47",38,"13,15",5,1,5,1,2,3,0,0,1
21/093,2021-10-19,"7,13,15,19,24,37",2,,5,1,5,1,1,3,1,1,0
21/092,2021-10-16,"3,14,16,23,38,46",2,,4,2,2,4,1,2,1,1,1
21/091,2021-10-14,"2,6,9,27,43,45",35,,3,3,4,2,3,0,1,0,2
21/090,2021-10-07,"8,11,19,21,24,47",23,19,5,1,4,2,1,2,2,0,1
21/089,2021-10-05,"19,20,26,29,32,48",38,"19,48",2,4,2,4,0,2,2,1,1
21/088,2021-10-02,"6,12,19,31,47,48",41,47,3,3,3,3,1,2,0,1,2
21/087,2021-09-30,"2,3,11,20,24,47",48,2,5,1,3,3,2,2,1,0,1
21/086,2021-09-28,"2,23,31,38,43,45",40,"43,45",2,4,4,2,1,0,1,2,2
21/085,2021-09-25,"15,18,32,43,45,47",12,,2,4,4,2,0,2,0,1,3
21/084,2021-09-23,"2,4,10,17,38,41",47,,4,2,2,4,3,1,0,1,1
21/083,2021-09-21,"14,15,25,26,32,45",2,32,2,4,3,3,0,2,2,1,1
21/082,2021-09-16,"1,6,11,20,32,35",22,32,4,2,3,3,2,2,0,2,0
21/081,2021-09-14,"7,8,32,33,39,49",23,,2,4,4,2,2,0,0,3,1
21/080,2021-09-11,"12,26,31,37,38,44",16,"31,37",1,5,2,4,0,1,1,3,1
21/079,2021-09-09,"7,22,24,31,33,37",39,7,3,3,4,2,1,0,2,3,0
21/078,2021-09-07,"2,7,21,23,27,36",40,36,4,2,4,2,2,0,3,1,0
21/077,2021-09-04,"5,8,29,31,32,36",12,,2,4,3,3,2,0,1,3,0
21/076,2021-09-02,"10,28,39,45,48,49",15,45,1,5,3,3,1,0,1,1,3
21/075,2021-08-31,"1,12,23,29,45,46",48,45,3,3,4,2,1,1,2,0,2
21/074,2021-08-28,"2,14,15,16,33,45",19,,4,2,3,3,1,3,0,1,1
21/073,2021-08-26,"5,10,17,30,43,44",40,5,3,3,3,3,2,1,1,0,2
21/072,2021-08-21,"2,5,18,21,42,48",46,,4,2,2,4,2,1,1,0,2
21/071,2021-08-19,"4,26,28,31,32,33",8,,1,5,2,4,1,0,2,3,0
21/070,2021-08-14,"11,12,19,38,39,41",6,,3,3,4,2,0,3,0,2,1
21/069,2021-08-12,"20,21,30,34,36,37",29,,2,4,2,4,0,1,2,3,0
21/068,2021-08-10,"4,12,14,17,22,32",41,14,5,1,1,5,1,3,1,1,0
21/067,2021-08-07,"13,14,26,34,35,44",12,,2,4,2,4,0,2,1,2,1
21/066,2021-08-05,"10,17,19,25,36,39",31,"10,39",3,3,4,2,1,2,1,2,0
21/065,2021-08-03,"10,13,15,29,31,39",47,,3,3,5,1,1,2,1,2,0
21/064,2021-08-01,"1,4,9,21,36,42",3,,4,2,3,3,3,0,1,1,1
21/063,2021-07-27,"8,11,19,22,29,44",14,11,4,2,3,3,1,2,2,0,1
21/062,2021-07-24,"11,12,25,27,28,34",46,,2,4,3,3,0,2,3,1,0
21/061,2021-07-22,"2,3,4,5,8,23",27,2,6,0,3,3,5,0,1,0,0
21/060,2021-07-20,"2,7,15,19,31,49",46,,4,2,5,1,2,2,0,1,1
21/059,2021-07-17,"1,6,16,30,32,47",12,6,3,3,2,4,2,1,1,1,1
21/058,2021-07-15,"6,19,22,23,28,49",20,,4,2,3,3,1,1,3,0,1
21/057,2021-07-13,"9,13,21,35,38,48",20,,3,3,4,2,1,1,1,2,1
21/056,2021-07-10,"25,28,34,37,40,49",33,,0,6,3,3,0,0,2,3,1
21/055,2021-07-08,"7,9,13,27,39,43",42,,3,3,6,0,2,1,1,1,1
21/054,2021-07-06,"2,6,15,16,26,34",14,,4,2,1,5,2,2,1,1,0
21/053,2021-07-03,"7,9,24,29,37,48",17,24,3,3,4,2,2,0,2,1,1
21/052,2021-06-29,"10,16,24,39,44,47",28,,3,3,2,4,1,1,1,1,2
21/051,2021-06-27,"2,7,11,27,37,42",28,11,3,3,4,2,2,1,1,1,1
21/050,2021-06-24,"4,11,14,21,38,48",31,,4,2,2,4,1,2,1,1,1
21/049,2021-06-22,"1,5,7,24,26,30",8,,4,2,3,3,3,0,3,0,0
21/048,2021-06-19,"4,15,17,32,38,43",30,,3,3,3,3,1,2,0,2,1
21/047,2021-06-17,"1,25,31,34,42,48",20,,1,5,3,3,1,0,1,2,2
21/046,2021-06-15,"3,11,13,22,44,45",4,3,4,2,4,2,1,2,1,0,2
21/045,2021-06-11,"2,3,15,29,41,43",7,,3,3,5,1,2,1,1,0,2
21/044,2021-06-08,"7,13,21,24,28,30",10,,4,2,3,3,1,1,4,0,0
21/043,2021-06-04,"2,6,16,22,34,49",45,"6,16",4,2,1,5,2,1,1,1,1
21/042,2021-06-01,"1,6,16,28,33,36",8,,3,3,2,4,2,1,1,2,0
21/041,2021-05-28,"5,12,30,43,44,45",21,,2,4,3,3,1,1,1,0,3
21/040,2021-05-25,"1,7,19,22,27,49",20,,4,2,5,1,2,1,2,0,1
21/039,2021-05-21,"8,14,31,37,44,47",38,,2,4,3,3,1,1,0,2,2
21/038,2021-05-18,"2,9,26,34,35,36",4,,2,4,2,4,2,0,1,3,0
21/037,2021-05-14,"5,14,28,29,31,37",11,31,2,4,4,2,1,1,2,2,0
21/036,2021-05-11,"15,22,30,31,35,45",6,22,2,4,4,2,0,1,2,2,1
21/035,2021-05-07,"5,8,22,26,40,41",46,8,3,3,2,4,2,0,2,1,1
21/034,2021-05-04,"8,9,10,19,38,45",6,9,4,2,3,3,3,1,0,1,1
21/033,2021-04-30,"7,9,29,33,36,49",41,,2,4,5,1,2,0,1,2,1
21/032,2021-04-27,"2,13,15,19,38,41",30,15,4,2,4,2,1,3,0,1,1
21/031,2021-04-23,"15,18,20,23,31,47",12,,4,2,4,2,0,3,1,1,1
21/030,2021-04-20,"12,32,40,42,48,49",27,,1,5,1,5,0,1,0,2,3
21/029,2021-04-16,"5,6,17,23,29,38",24,,4,2,4,2,2,1,2,1,0
